symbol,market_entry_date,market_entry_date_time,entry_price,target_position_value,cash,usd_value,usd_value_prev,positions_usd,dta_rank,dta_rank_prev
FB,2021-12-30,2021-12-30 15:00:00+00:00,341.390696,0,10000.0,0.0,0.0,0.0,0.0,-1.0
FNF,2021-12-30,2021-12-30 15:00:00+00:00,52.364494,0,10000.0,0.0,0.0,0.0,0.0,-1.0
BTCUSD,2021-12-30,2021-12-30 15:00:00+00:00,47938.475093,0,10000.0,0.0,0.0,0.0,0.0,-1.0
UNP,2021-12-30,2021-12-30 15:00:00+00:00,250.292971,0,10000.0,0.0,0.0,0.0,0.0,-1.0
ABNB,2021-12-30,2021-12-30 15:00:00+00:00,167.858896,0,10000.0,0.0,0.0,0.0,0.0,-1.0
V,2021-12-30,2021-12-30 15:00:00+00:00,217.076622,0,10000.0,0.0,0.0,0.0,0.0,-1.0
UBER,2021-12-30,2021-12-30 15:00:00+00:00,42.739807,0,10000.0,0.0,0.0,0.0,0.0,-1.0
PLTR,2021-12-30,2021-12-30 15:00:00+00:00,18.630987,0,10000.0,0.0,0.0,0.0,0.0,-1.0
BKNG,2021-12-30,2021-12-30 15:00:00+00:00,2389.214088,0,10000.0,0.0,0.0,0.0,0.0,-1.0
TLT,2021-12-30,2021-12-30 15:00:00+00:00,147.848263,0,10000.0,0.0,0.0,0.0,0.0,-1.0
FNV,2021-12-30,2021-12-30 15:00:00+00:00,137.915748,0,10000.0,0.0,0.0,0.0,0.0,-1.0
GRUB,2021-12-30,2021-12-30 15:00:00+00:00,10.696562,0,10000.0,0.0,0.0,0.0,0.0,-1.0
WE,2021-12-30,2021-12-30 15:00:00+00:00,8.917039,0,10000.0,0.0,0.0,0.0,0.0,-1.0
MSFT,2021-12-30,2021-12-30 15:00:00+00:00,337.141874,0,10000.0,0.0,0.0,0.0,0.0,-1.0
COIN,2021-12-30,2021-12-30 15:00:00+00:00,256.382755,0,10000.0,0.0,0.0,0.0,0.0,-1.0
GLD,2021-12-30,2021-12-30 15:00:00+00:00,170.203592,0,10000.0,0.0,0.0,0.0,0.0,-1.0
CRM,2021-12-30,2021-12-30 15:00:00+00:00,255.34476,0,10000.0,0.0,0.0,0.0,0.0,-1.0
MELI,2021-12-30,2021-12-30 15:00:00+00:00,1351.570836,0,10000.0,0.0,0.0,0.0,0.0,-1.0
ETHUSD,2021-12-30,2021-12-30 15:00:00+00:00,3791.079163,0,10000.0,0.0,0.0,0.0,0.0,-1.0
ARKK,2021-12-30,2021-12-30 15:00:00+00:00,96.68416,0,10000.0,0.0,0.0,0.0,0.0,-1.0
SKLUSD,2021-12-30,2021-12-30 15:00:00+00:00,0.0,0,10000.0,0.0,0.0,0.0,0.0,-1.0
BKNG,2021-12-31,2021-12-31 15:00:00+00:00,2389.214088,0.017,,9240.0,10000.0,170.0,1.0,0.0
UNP,2021-12-31,2021-12-31 15:00:00+00:00,250.292971,0,,9240.0,10000.0,0.0,1.0,0.0
V,2021-12-31,2021-12-31 15:00:00+00:00,217.076622,0,,9240.0,10000.0,0.0,1.0,0.0
UBER,2021-12-31,2021-12-31 15:00:00+00:00,42.739807,0.044,,9240.0,10000.0,440.0,1.0,0.0
PLTR,2021-12-31,2021-12-31 15:00:00+00:00,18.630987,0,,9240.0,10000.0,0.0,1.0,0.0
SKLUSD,2021-12-31,2021-12-31 15:00:00+00:00,0.0,0.036,,9240.0,10000.0,360.0,1.0,0.0
TLT,2021-12-31,2021-12-31 15:00:00+00:00,147.848263,0,,9240.0,10000.0,0.0,1.0,0.0
FNV,2021-12-31,2021-12-31 15:00:00+00:00,137.915748,0.028,,9240.0,10000.0,280.0,1.0,0.0
BTCUSD,2021-12-31,2021-12-31 15:00:00+00:00,47938.475093,0.093,,9240.0,10000.0,930.0,1.0,0.0
GRUB,2021-12-31,2021-12-31 15:00:00+00:00,10.696562,0.007,,9240.0,10000.0,70.0,1.0,0.0
WE,2021-12-31,2021-12-31 15:00:00+00:00,8.917039,0.020,,9240.0,10000.0,200.0,1.0,0.0
FNF,2021-12-31,2021-12-31 15:00:00+00:00,52.364494,0,,9240.0,10000.0,0.0,1.0,0.0
MSFT,2021-12-31,2021-12-31 15:00:00+00:00,337.141874,0.011,,9240.0,10000.0,110.0,1.0,0.0
COIN,2021-12-31,2021-12-31 15:00:00+00:00,256.382755,0.019,,9240.0,10000.0,190.0,1.0,0.0
GLD,2021-12-31,2021-12-31 15:00:00+00:00,170.203592,0.011,,9240.0,10000.0,110.0,1.0,0.0
ABNB,2021-12-31,2021-12-31 15:00:00+00:00,167.858896,0.060,,9240.0,10000.0,600.0,1.0,0.0
ARKK,2021-12-31,2021-12-31 15:00:00+00:00,96.68416,0,,9240.0,10000.0,0.0,1.0,0.0
CRM,2021-12-31,2021-12-31 15:00:00+00:00,255.34476,0.017,,9240.0,10000.0,170.0,1.0,0.0
FB,2021-12-31,2021-12-31 15:00:00+00:00,341.390696,0.291,,9240.0,10000.0,2910.0,1.0,0.0
ETHUSD,2021-12-31,2021-12-31 15:00:00+00:00,3791.079163,0.254,,9240.0,10000.0,2540.0,1.0,0.0
MELI,2021-12-31,2021-12-31 15:00:00+00:00,1351.570836,0.016,,9240.0,10000.0,160.0,1.0,0.0
FB,2022-01-18,2022-01-18 23:00:00+00:00,318.858302,0,,1848.0,9240.0,0.0,2.0,1.0
V,2022-01-18,2022-01-18 23:00:00+00:00,215.562683,0,,1848.0,9240.0,0.0,2.0,1.0
ARKK,2022-01-18,2022-01-18 23:00:00+00:00,77.323596,0,,1848.0,9240.0,0.0,2.0,1.0
UNP,2022-01-18,2022-01-18 23:00:00+00:00,250.292971,0,,1848.0,9240.0,0.0,2.0,1.0
BKNG,2022-01-18,2022-01-18 23:00:00+00:00,2380.19,0,,1848.0,9240.0,0.0,2.0,1.0
UBER,2022-01-18,2022-01-18 23:00:00+00:00,38.473381,0,,1848.0,9240.0,0.0,2.0,1.0
PLTR,2022-01-18,2022-01-18 23:00:00+00:00,15.003249,0,,1848.0,9240.0,0.0,2.0,1.0
SKLUSD,2022-01-18,2022-01-18 23:00:00+00:00,0.0,0,,1848.0,9240.0,0.0,2.0,1.0
TLT,2022-01-18,2022-01-18 23:00:00+00:00,140.096285,0,,1848.0,9240.0,0.0,2.0,1.0
ETHUSD,2022-01-18,2022-01-18 23:00:00+00:00,3167.147131,0.2,,1848.0,9240.0,1848.0,2.0,1.0
BTCUSD,2022-01-18,2022-01-18 23:00:00+00:00,42453.164185,0,,1848.0,9240.0,0.0,2.0,1.0
FNV,2022-01-18,2022-01-18 23:00:00+00:00,137.915748,0,,1848.0,9240.0,0.0,2.0,1.0
MELI,2022-01-18,2022-01-18 23:00:00+00:00,1351.570836,0,,1848.0,9240.0,0.0,2.0,1.0
GLD,2022-01-18,2022-01-18 23:00:00+00:00,169.455479,0,,1848.0,9240.0,0.0,2.0,1.0
COIN,2022-01-18,2022-01-18 23:00:00+00:00,222.362743,0,,1848.0,9240.0,0.0,2.0,1.0
CRM,2022-01-18,2022-01-18 23:00:00+00:00,226.279719,0,,1848.0,9240.0,0.0,2.0,1.0
MSFT,2022-01-18,2022-01-18 23:00:00+00:00,302.750795,0,,1848.0,9240.0,0.0,2.0,1.0
GRUB,2022-01-18,2022-01-18 23:00:00+00:00,10.696562,0,,1848.0,9240.0,0.0,2.0,1.0
FNF,2022-01-18,2022-01-18 23:00:00+00:00,52.364494,0,,1848.0,9240.0,0.0,2.0,1.0
WE,2022-01-18,2022-01-18 23:00:00+00:00,8.917039,0,,1848.0,9240.0,0.0,2.0,1.0
ABNB,2022-01-18,2022-01-18 23:00:00+00:00,156.667261,0,,1848.0,9240.0,0.0,2.0,1.0
SKLUSD,2022-02-09,2022-02-09 15:00:00+00:00,0.0,0,,0.0,0.0,0.0,3.0,2.0
ABNB,2022-02-09,2022-02-09 15:00:00+00:00,168.495018,0,,0.0,0.0,0.0,3.0,2.0
V,2022-02-09,2022-02-09 15:00:00+00:00,232.293663,0,,0.0,0.0,0.0,3.0,2.0
GRUB,2022-02-09,2022-02-09 15:00:00+00:00,9.952474,0,,0.0,0.0,0.0,3.0,2.0
GLD,2022-02-09,2022-02-09 15:00:00+00:00,170.783284,0,,0.0,0.0,0.0,3.0,2.0
COIN,2022-02-09,2022-02-09 15:00:00+00:00,213.320894,0,,0.0,0.0,0.0,3.0,2.0
FNV,2022-02-09,2022-02-09 15:00:00+00:00,138.592361,0,,0.0,0.0,0.0,3.0,2.0
FB,2022-02-09,2022-02-09 15:00:00+00:00,225.323744,0,,0.0,0.0,0.0,3.0,2.0
MELI,2022-02-09,2022-02-09 15:00:00+00:00,1079.866009,0,,0.0,0.0,0.0,3.0,2.0
UBER,2022-02-09,2022-02-09 15:00:00+00:00,39.42718,0,,0.0,0.0,0.0,3.0,2.0
PLTR,2022-02-09,2022-02-09 15:00:00+00:00,13.500101,0,,0.0,0.0,0.0,3.0,2.0
BKNG,2022-02-09,2022-02-09 15:00:00+00:00,2605.964965,0,,0.0,0.0,0.0,3.0,2.0
WE,2022-02-09,2022-02-09 15:00:00+00:00,6.973434,0,,0.0,0.0,0.0,3.0,2.0
CRM,2022-02-09,2022-02-09 15:00:00+00:00,218.596151,0,,0.0,0.0,0.0,3.0,2.0
TLT,2022-02-09,2022-02-09 15:00:00+00:00,138.813167,0,,0.0,0.0,0.0,3.0,2.0
MSFT,2022-02-09,2022-02-09 15:00:00+00:00,308.541614,0,,0.0,0.0,0.0,3.0,2.0
ARKK,2022-02-09,2022-02-09 15:00:00+00:00,74.759665,0,,0.0,0.0,0.0,3.0,2.0
ETHUSD,2022-02-09,2022-02-09 15:00:00+00:00,3180.491623,0.175,,0.0,0.0,0.0,3.0,2.0
FNF,2022-02-09,2022-02-09 15:00:00+00:00,51.222735,0,,0.0,0.0,0.0,3.0,2.0
BTCUSD,2022-02-09,2022-02-09 15:00:00+00:00,44030.288742,0,,0.0,0.0,0.0,3.0,2.0
UNP,2022-02-09,2022-02-09 15:00:00+00:00,245.099781,0,,0.0,0.0,0.0,3.0,2.0
ETHUSD,2022-03-01,2022-03-01 15:00:00+00:00,2952.264758,0.158,,0.0,0.0,0.0,4.0,3.0
UBER,2022-03-01,2022-03-01 15:00:00+00:00,34.84263,0,,0.0,0.0,0.0,4.0,3.0
PLTR,2022-03-01,2022-03-01 15:00:00+00:00,12.191519,0,,0.0,0.0,0.0,4.0,3.0
WE,2022-03-01,2022-03-01 15:00:00+00:00,6.32751,0,,0.0,0.0,0.0,4.0,3.0
UNP,2022-03-01,2022-03-01 15:00:00+00:00,244.24323,0,,0.0,0.0,0.0,4.0,3.0
MSFT,2022-03-01,2022-03-01 15:00:00+00:00,298.578554,0,,0.0,0.0,0.0,4.0,3.0
FNF,2022-03-01,2022-03-01 15:00:00+00:00,46.461845,0,,0.0,0.0,0.0,4.0,3.0
CRM,2022-03-01,2022-03-01 15:00:00+00:00,211.548115,0,,0.0,0.0,0.0,4.0,3.0
GLD,2022-03-01,2022-03-01 15:00:00+00:00,179.520479,0,,0.0,0.0,0.0,4.0,3.0
V,2022-03-01,2022-03-01 15:00:00+00:00,211.979332,0,,0.0,0.0,0.0,4.0,3.0
GRUB,2022-03-01,2022-03-01 15:00:00+00:00,7.856413,0,,0.0,0.0,0.0,4.0,3.0
COIN,2022-03-01,2022-03-01 15:00:00+00:00,198.233928,0,,0.0,0.0,0.0,4.0,3.0
BTCUSD,2022-03-01,2022-03-01 15:00:00+00:00,43694.763163,0,,0.0,0.0,0.0,4.0,3.0
ABNB,2022-03-01,2022-03-01 15:00:00+00:00,151.670716,0,,0.0,0.0,0.0,4.0,3.0
FNV,2022-03-01,2022-03-01 15:00:00+00:00,152.30573,0,,0.0,0.0,0.0,4.0,3.0
MELI,2022-03-01,2022-03-01 15:00:00+00:00,1158.842166,0,,0.0,0.0,0.0,4.0,3.0
TLT,2022-03-01,2022-03-01 15:00:00+00:00,141.22451,0,,0.0,0.0,0.0,4.0,3.0
BKNG,2022-03-01,2022-03-01 15:00:00+00:00,2118.426675,0,,0.0,0.0,0.0,4.0,3.0
SKLUSD,2022-03-01,2022-03-01 15:00:00+00:00,0.0,0,,0.0,0.0,0.0,4.0,3.0
FB,2022-03-01,2022-03-01 15:00:00+00:00,209.690049,0,,0.0,0.0,0.0,4.0,3.0
ARKK,2022-03-01,2022-03-01 15:00:00+00:00,69.879694,0,,0.0,0.0,0.0,4.0,3.0
TLT,2022-03-02,2022-03-02 21:00:00+00:00,136.532031,0,,0.0,0.0,0.0,5.0,4.0
SKLUSD,2022-03-02,2022-03-02 21:00:00+00:00,0.0,0,,0.0,0.0,0.0,5.0,4.0
CRM,2022-03-02,2022-03-02 21:00:00+00:00,210.354315,0,,0.0,0.0,0.0,5.0,4.0
FNV,2022-03-02,2022-03-02 21:00:00+00:00,151.238743,0,,0.0,0.0,0.0,5.0,4.0
MELI,2022-03-02,2022-03-02 21:00:00+00:00,1140.899969,0,,0.0,0.0,0.0,5.0,4.0
PLTR,2022-03-02,2022-03-02 21:00:00+00:00,12.052031,0,,0.0,0.0,0.0,5.0,4.0
BTCUSD,2022-03-02,2022-03-02 21:00:00+00:00,43874.143525,0,,0.0,0.0,0.0,5.0,4.0
ETHUSD,2022-03-02,2022-03-02 21:00:00+00:00,2965.067967,0,,0.0,0.0,0.0,5.0,4.0
GRUB,2022-03-02,2022-03-02 21:00:00+00:00,7.78,0,,0.0,0.0,0.0,5.0,4.0
WE,2022-03-02,2022-03-02 21:00:00+00:00,6.32,0,,0.0,0.0,0.0,5.0,4.0
MSFT,2022-03-02,2022-03-02 21:00:00+00:00,300.153369,0,,0.0,0.0,0.0,5.0,4.0
FB,2022-03-02,2022-03-02 21:00:00+00:00,208.087121,0.23,,0.0,0.0,0.0,5.0,4.0
GLD,2022-03-02,2022-03-02 21:00:00+00:00,179.738337,0,,0.0,0.0,0.0,5.0,4.0
FNF,2022-03-02,2022-03-02 21:00:00+00:00,47.67,0,,0.0,0.0,0.0,5.0,4.0
COIN,2022-03-02,2022-03-02 21:00:00+00:00,194.459298,0,,0.0,0.0,0.0,5.0,4.0
UNP,2022-03-02,2022-03-02 21:00:00+00:00,252.370006,0,,0.0,0.0,0.0,5.0,4.0
BKNG,2022-03-02,2022-03-02 21:00:00+00:00,2163.52078,0,,0.0,0.0,0.0,5.0,4.0
UBER,2022-03-02,2022-03-02 21:00:00+00:00,34.038274,0,,0.0,0.0,0.0,5.0,4.0
ABNB,2022-03-02,2022-03-02 21:00:00+00:00,157.513174,0,,0.0,0.0,0.0,5.0,4.0
ARKK,2022-03-02,2022-03-02 21:00:00+00:00,67.517591,0,,0.0,0.0,0.0,5.0,4.0
V,2022-03-02,2022-03-02 21:00:00+00:00,208.49596,0,,0.0,0.0,0.0,5.0,4.0
COIN,2022-03-04,2022-03-04 16:00:00+00:00,167.451998,0,,0.0,0.0,0.0,6.0,5.0
ABNB,2022-03-04,2022-03-04 16:00:00+00:00,141.787906,0,,0.0,0.0,0.0,6.0,5.0
SKLUSD,2022-03-04,2022-03-04 16:00:00+00:00,0.0,0,,0.0,0.0,0.0,6.0,5.0
TLT,2022-03-04,2022-03-04 16:00:00+00:00,140.637127,0,,0.0,0.0,0.0,6.0,5.0
GLD,2022-03-04,2022-03-04 16:00:00+00:00,183.113105,0,,0.0,0.0,0.0,6.0,5.0
ETHUSD,2022-03-04,2022-03-04 16:00:00+00:00,2676.131361,0,,0.0,0.0,0.0,6.0,5.0
GRUB,2022-03-04,2022-03-04 16:00:00+00:00,6.074902,0,,0.0,0.0,0.0,6.0,5.0
V,2022-03-04,2022-03-04 16:00:00+00:00,197.774239,0,,0.0,0.0,0.0,6.0,5.0
MELI,2022-03-04,2022-03-04 16:00:00+00:00,1067.847245,0,,0.0,0.0,0.0,6.0,5.0
FNV,2022-03-04,2022-03-04 16:00:00+00:00,153.916167,0,,0.0,0.0,0.0,6.0,5.0
BKNG,2022-03-04,2022-03-04 16:00:00+00:00,1986.13034,0,,0.0,0.0,0.0,6.0,5.0
BTCUSD,2022-03-04,2022-03-04 16:00:00+00:00,40599.258754,0,,0.0,0.0,0.0,6.0,5.0
CRM,2022-03-04,2022-03-04 16:00:00+00:00,200.156994,0,,0.0,0.0,0.0,6.0,5.0
FNF,2022-03-04,2022-03-04 16:00:00+00:00,47.001216,0,,0.0,0.0,0.0,6.0,5.0
WE,2022-03-04,2022-03-04 16:00:00+00:00,5.725187,0,,0.0,0.0,0.0,6.0,5.0
UBER,2022-03-04,2022-03-04 16:00:00+00:00,29.818446,0,,0.0,0.0,0.0,6.0,5.0
PLTR,2022-03-04,2022-03-04 16:00:00+00:00,10.848841,0,,0.0,0.0,0.0,6.0,5.0
MSFT,2022-03-04,2022-03-04 16:00:00+00:00,288.497962,0,,0.0,0.0,0.0,6.0,5.0
FB,2022-03-04,2022-03-04 16:00:00+00:00,200.071142,0,,0.0,0.0,0.0,6.0,5.0
UNP,2022-03-04,2022-03-04 16:00:00+00:00,259.291977,0,,0.0,0.0,0.0,6.0,5.0
ARKK,2022-03-04,2022-03-04 16:00:00+00:00,60.853381,0,,0.0,0.0,0.0,6.0,5.0
FNV,2022-03-11,2022-03-11 21:00:00+00:00,158.05,0,,0.0,0.0,0.0,7.0,6.0
GLD,2022-03-11,2022-03-11 21:00:00+00:00,185.109976,0,,0.0,0.0,0.0,7.0,6.0
WE,2022-03-11,2022-03-11 21:00:00+00:00,5.06489,0,,0.0,0.0,0.0,7.0,6.0
MSFT,2022-03-11,2022-03-11 21:00:00+00:00,280.067157,0,,0.0,0.0,0.0,7.0,6.0
FB,2022-03-11,2022-03-11 21:00:00+00:00,187.607892,0,,0.0,0.0,0.0,7.0,6.0
MELI,2022-03-11,2022-03-11 21:00:00+00:00,891.701388,0,,0.0,0.0,0.0,7.0,6.0
ARKK,2022-03-11,2022-03-11 21:00:00+00:00,55.738874,0,,0.0,0.0,0.0,7.0,6.0
FNF,2022-03-11,2022-03-11 21:00:00+00:00,46.98,0,,0.0,0.0,0.0,7.0,6.0
COIN,2022-03-11,2022-03-11 21:00:00+00:00,160.225643,0,,0.0,0.0,0.0,7.0,6.0
TLT,2022-03-11,2022-03-11 21:00:00+00:00,134.910099,0,,0.0,0.0,0.0,7.0,6.0
ABNB,2022-03-11,2022-03-11 21:00:00+00:00,145.15385,0,,0.0,0.0,0.0,7.0,6.0
UNP,2022-03-11,2022-03-11 21:00:00+00:00,261.557098,0,,0.0,0.0,0.0,7.0,6.0
PLTR,2022-03-11,2022-03-11 21:00:00+00:00,11.392136,0,,0.0,0.0,0.0,7.0,6.0
ETHUSD,2022-03-11,2022-03-11 21:00:00+00:00,2565.400515,0.15,,0.0,0.0,0.0,7.0,6.0
V,2022-03-11,2022-03-11 21:00:00+00:00,196.709938,0,,0.0,0.0,0.0,7.0,6.0
BTCUSD,2022-03-11,2022-03-11 21:00:00+00:00,38878.888901,0,,0.0,0.0,0.0,7.0,6.0
BKNG,2022-03-11,2022-03-11 21:00:00+00:00,2017.413578,0,,0.0,0.0,0.0,7.0,6.0
GRUB,2022-03-11,2022-03-11 21:00:00+00:00,6.720475,0,,0.0,0.0,0.0,7.0,6.0
CRM,2022-03-11,2022-03-11 21:00:00+00:00,197.900099,0,,0.0,0.0,0.0,7.0,6.0
UBER,2022-03-11,2022-03-11 21:00:00+00:00,30.75891,0,,0.0,0.0,0.0,7.0,6.0
SKLUSD,2022-03-11,2022-03-11 21:00:00+00:00,0.0,0,,0.0,0.0,0.0,7.0,6.0
PLTR,2022-03-22,2022-03-22 14:00:00+00:00,13.098068,0,,0.0,0.0,0.0,8.0,7.0
WE,2022-03-22,2022-03-22 14:00:00+00:00,6.527135,0,,0.0,0.0,0.0,8.0,7.0
UBER,2022-03-22,2022-03-22 14:00:00+00:00,32.824404,0,,0.0,0.0,0.0,8.0,7.0
FB,2022-03-22,2022-03-22 14:00:00+00:00,217.126867,0,,0.0,0.0,0.0,8.0,7.0
COIN,2022-03-22,2022-03-22 14:00:00+00:00,185.392663,0,,0.0,0.0,0.0,8.0,7.0
GLD,2022-03-22,2022-03-22 14:00:00+00:00,178.722766,0,,0.0,0.0,0.0,8.0,7.0
V,2022-03-22,2022-03-22 14:00:00+00:00,218.88381,0,,0.0,0.0,0.0,8.0,7.0
FNF,2022-03-22,2022-03-22 14:00:00+00:00,49.946478,0,,0.0,0.0,0.0,8.0,7.0
ABNB,2022-03-22,2022-03-22 14:00:00+00:00,166.877593,0,,0.0,0.0,0.0,8.0,7.0
BKNG,2022-03-22,2022-03-22 14:00:00+00:00,2185.994686,0,,0.0,0.0,0.0,8.0,7.0
CRM,2022-03-22,2022-03-22 14:00:00+00:00,216.516237,0,,0.0,0.0,0.0,8.0,7.0
