eth_cust_address_x,address_x,chain_x,symbol_x,target_position_value_x,date_time_x,trade_id_x,date_x,delayed_trade_date_time_x,delayed_trade_date_closing_time_x,delayed_trade_date_x,timestamp_x,vwap_x,max_time_stamp_x,date_time_adj_x,ticker_date_time_rank_x,dta_rank_x,symbol_appearance_rank_x,dta_rank_prev_x,user_id_x,cash_x,usd_value_x,usd_value_prev_x,positions_usd_x,inception_return_x,gross_exposure_usd_x,long_exposure_usd_x,short_exposure_usd_x,net_exposure_usd_x,gross_exposure_percent_x,long_exposure_percent_x,short_exposure_percent_x,net_exposure_percent_x,gross_traded_usd_x,net_traded_usd_x,gross_traded_percent_x,net_traded_percent_x,unrealized_long_pnl_x,unrealized_short_pnl_x,unrealized_pnl_x,realized_long_pnl_x,realized_short_pnl_x,realized_pnl_x,total_long_pnl_x,total_short_pnl_x,total_pnl_x,eth_cust_address_y,address_y,chain_y,symbol_y,target_position_value_y,date_time_y,trade_id_y,date_y,delayed_trade_date_time_y,delayed_trade_date_closing_time_y,delayed_trade_date_y,timestamp_y,vwap_y,max_time_stamp_y,date_time_adj_y,ticker_date_time_rank_y,dta_rank_y,symbol_appearance_rank_y,dta_rank_prev_y,user_id_y,cash_y,usd_value_y,usd_value_prev_y,positions_usd_y,inception_return_y,gross_exposure_usd_y,long_exposure_usd_y,short_exposure_usd_y,net_exposure_usd_y,gross_exposure_percent_y,long_exposure_percent_y,short_exposure_percent_y,net_exposure_percent_y,gross_traded_usd_y,net_traded_usd_y,gross_traded_percent_y,net_traded_percent_y,unrealized_long_pnl_y,unrealized_short_pnl_y,unrealized_pnl_y,realized_long_pnl_y,realized_short_pnl_y,realized_pnl_y,total_long_pnl_y,total_short_pnl_y,total_pnl_y
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,CASH,1,2021-12-30 00:23:42,0,2021-12-30,2021-12-30 14:30:00,2021-12-30 21:00:00,2021-12-30,2021-12-30 15:00:00+00:00,1.0,2021-12-30 15:00:00+00:00,2021-12-30 15:00:00+00:00,1,0.0,1.0,-1.0,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,FB,0.291,2021-12-31 00:23:42,1,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,341.390696,2021-12-31 23:00:00+00:00,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,CASH,1,2021-12-30 00:23:42,0.0,2021-12-30,2021-12-30 14:30:00,2021-12-30 21:00:00,2021-12-30,2021-12-30 15:00:00+00:00,1.0,2021-12-30 15:00:00+00:00,2021-12-30 15:00:00+00:00,1.0,0.0,1.0,-1.0,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,ETHUSD,0.254,2021-12-31 00:23:42,2,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,3791.079163,2021-12-31 23:00:00+00:00,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,CASH,1,2021-12-30 00:23:42,0.0,2021-12-30,2021-12-30 14:30:00,2021-12-30 21:00:00,2021-12-30,2021-12-30 15:00:00+00:00,1.0,2021-12-30 15:00:00+00:00,2021-12-30 15:00:00+00:00,1.0,0.0,1.0,-1.0,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,BTCUSD,0.093,2021-12-31 00:23:42,3,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,47938.475093,2021-12-31 23:00:00+00:00,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,CASH,1,2021-12-30 00:23:42,0.0,2021-12-30,2021-12-30 14:30:00,2021-12-30 21:00:00,2021-12-30,2021-12-30 15:00:00+00:00,1.0,2021-12-30 15:00:00+00:00,2021-12-30 15:00:00+00:00,1.0,0.0,1.0,-1.0,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,ABNB,0.060,2021-12-31 00:23:42,4,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,167.858896,2021-12-31 21:00:00+00:00,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,CASH,1,2021-12-30 00:23:42,0.0,2021-12-30,2021-12-30 14:30:00,2021-12-30 21:00:00,2021-12-30,2021-12-30 15:00:00+00:00,1.0,2021-12-30 15:00:00+00:00,2021-12-30 15:00:00+00:00,1.0,0.0,1.0,-1.0,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,UBER,0.044,2021-12-31 00:23:42,5,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,42.739807,2021-12-31 23:00:00+00:00,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,CASH,1,2021-12-30 00:23:42,0.0,2021-12-30,2021-12-30 14:30:00,2021-12-30 21:00:00,2021-12-30,2021-12-30 15:00:00+00:00,1.0,2021-12-30 15:00:00+00:00,2021-12-30 15:00:00+00:00,1.0,0.0,1.0,-1.0,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,SKLUSD,0.036,2021-12-31 00:23:42,6,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,0.0,,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,CASH,1,2021-12-30 00:23:42,0.0,2021-12-30,2021-12-30 14:30:00,2021-12-30 21:00:00,2021-12-30,2021-12-30 15:00:00+00:00,1.0,2021-12-30 15:00:00+00:00,2021-12-30 15:00:00+00:00,1.0,0.0,1.0,-1.0,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,FNV,0.028,2021-12-31 00:23:42,7,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,137.915748,2021-12-31 21:00:00+00:00,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,CASH,1,2021-12-30 00:23:42,0.0,2021-12-30,2021-12-30 14:30:00,2021-12-30 21:00:00,2021-12-30,2021-12-30 15:00:00+00:00,1.0,2021-12-30 15:00:00+00:00,2021-12-30 15:00:00+00:00,1.0,0.0,1.0,-1.0,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,WE,0.020,2021-12-31 00:23:42,8,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,8.917039,2021-12-31 22:00:00+00:00,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,CASH,1,2021-12-30 00:23:42,0.0,2021-12-30,2021-12-30 14:30:00,2021-12-30 21:00:00,2021-12-30,2021-12-30 15:00:00+00:00,1.0,2021-12-30 15:00:00+00:00,2021-12-30 15:00:00+00:00,1.0,0.0,1.0,-1.0,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,COIN,0.019,2021-12-31 00:23:42,9,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,256.382755,2021-12-31 23:00:00+00:00,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,CASH,1,2021-12-30 00:23:42,0.0,2021-12-30,2021-12-30 14:30:00,2021-12-30 21:00:00,2021-12-30,2021-12-30 15:00:00+00:00,1.0,2021-12-30 15:00:00+00:00,2021-12-30 15:00:00+00:00,1.0,0.0,1.0,-1.0,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,CRM,0.017,2021-12-31 00:23:42,10,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,255.34476,2021-12-31 23:00:00+00:00,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,CASH,1,2021-12-30 00:23:42,0.0,2021-12-30,2021-12-30 14:30:00,2021-12-30 21:00:00,2021-12-30,2021-12-30 15:00:00+00:00,1.0,2021-12-30 15:00:00+00:00,2021-12-30 15:00:00+00:00,1.0,0.0,1.0,-1.0,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,BKNG,0.017,2021-12-31 00:23:42,11,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,2389.214088,2021-12-31 21:00:00+00:00,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,CASH,1,2021-12-30 00:23:42,0.0,2021-12-30,2021-12-30 14:30:00,2021-12-30 21:00:00,2021-12-30,2021-12-30 15:00:00+00:00,1.0,2021-12-30 15:00:00+00:00,2021-12-30 15:00:00+00:00,1.0,0.0,1.0,-1.0,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,MELI,0.016,2021-12-31 00:23:42,12,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,1351.570836,2021-12-31 22:00:00+00:00,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,CASH,1,2021-12-30 00:23:42,0.0,2021-12-30,2021-12-30 14:30:00,2021-12-30 21:00:00,2021-12-30,2021-12-30 15:00:00+00:00,1.0,2021-12-30 15:00:00+00:00,2021-12-30 15:00:00+00:00,1.0,0.0,1.0,-1.0,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,GLD,0.011,2021-12-31 00:23:42,13,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,170.203592,2021-12-31 23:00:00+00:00,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,CASH,1,2021-12-30 00:23:42,0.0,2021-12-30,2021-12-30 14:30:00,2021-12-30 21:00:00,2021-12-30,2021-12-30 15:00:00+00:00,1.0,2021-12-30 15:00:00+00:00,2021-12-30 15:00:00+00:00,1.0,0.0,1.0,-1.0,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,MSFT,0.011,2021-12-31 00:23:42,14,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,337.141874,2021-12-31 23:00:00+00:00,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,CASH,1,2021-12-30 00:23:42,0.0,2021-12-30,2021-12-30 14:30:00,2021-12-30 21:00:00,2021-12-30,2021-12-30 15:00:00+00:00,1.0,2021-12-30 15:00:00+00:00,2021-12-30 15:00:00+00:00,1.0,0.0,1.0,-1.0,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,GRUB,0.007,2021-12-31 00:23:42,15,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,10.696562,2021-12-31 23:00:00+00:00,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,CASH,1,2021-12-30 00:23:42,0.0,2021-12-30,2021-12-30 14:30:00,2021-12-30 21:00:00,2021-12-30,2021-12-30 15:00:00+00:00,1.0,2021-12-30 15:00:00+00:00,2021-12-30 15:00:00+00:00,1.0,0.0,1.0,-1.0,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,ETHUSD,0.2,2022-01-18 23:48:26,16,2022-01-18,2022-01-18 14:30:00,2022-01-18 21:00:00,2022-01-18,2022-01-18 23:00:00+00:00,3167.147131,2022-01-18 23:00:00+00:00,2022-01-18 23:00:00+00:00,1,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,FB,0.291,2021-12-31 00:23:42,1.0,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,341.390696,2021-12-31 23:00:00+00:00,2021-12-31 15:00:00+00:00,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,ETHUSD,0.2,2022-01-18 23:48:26,16,2022-01-18,2022-01-18 14:30:00,2022-01-18 21:00:00,2022-01-18,2022-01-18 23:00:00+00:00,3167.147131,2022-01-18 23:00:00+00:00,2022-01-18 23:00:00+00:00,1,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,ETHUSD,0.254,2021-12-31 00:23:42,2.0,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,3791.079163,2021-12-31 23:00:00+00:00,2021-12-31 15:00:00+00:00,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,ETHUSD,0.2,2022-01-18 23:48:26,16,2022-01-18,2022-01-18 14:30:00,2022-01-18 21:00:00,2022-01-18,2022-01-18 23:00:00+00:00,3167.147131,2022-01-18 23:00:00+00:00,2022-01-18 23:00:00+00:00,1,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,BTCUSD,0.093,2021-12-31 00:23:42,3.0,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,47938.475093,2021-12-31 23:00:00+00:00,2021-12-31 15:00:00+00:00,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,ETHUSD,0.2,2022-01-18 23:48:26,16,2022-01-18,2022-01-18 14:30:00,2022-01-18 21:00:00,2022-01-18,2022-01-18 23:00:00+00:00,3167.147131,2022-01-18 23:00:00+00:00,2022-01-18 23:00:00+00:00,1,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,ABNB,0.060,2021-12-31 00:23:42,4.0,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,167.858896,2021-12-31 21:00:00+00:00,2021-12-31 15:00:00+00:00,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
